Day,Meal,Recipe,Calories,Carbs_g,Sugar_g,Protein_g,RF_Score
Day 16,Lunch,cornmeal crusted tilapia with black beans and salsa,404.3,41.2,2.0,38.0,0.6737
Day 16,Dinner,easy roasted red kidney beans with a kick  vegan,409.5,52.2,1.0,28.0,0.6526
Day 17,Breakfast,crispy fish tacos,345.4,27.5,4.0,37.5,0.6077
Day 17,Lunch,cornish hens with rice pilaf,680.4,41.2,5.5,75.0,0.6199
Day 17,Dinner,comfort casserole,607.8,38.5,6.0,52.0,0.6272
Day 18,Breakfast,spirals with chicken artichoke wine sauce,478.4,52.2,0.0,41.5,0.6832
Day 18,Lunch,hamburger and kidney beans,587.4,46.8,1.0,53.5,0.6854
Day 18,Dinner,chicken   barley casserole,589.9,27.5,3.5,72.5,0.612
Day 19,Breakfast,beer battered fish with tartar sauce,578.6,35.8,8.0,46.0,0.6078
Day 19,Lunch,even easier chicken broccoli  or spinach alfredo,644.8,38.5,0.5,54.0,0.6669
Day 19,Dinner,ww chicken pepper steak with hash browns,335.2,35.8,0.0,32.0,0.6477
Day 20,Breakfast,country fried meatloaf sandwich,668.6,30.2,0.5,56.5,0.6401
Day 20,Lunch,golden chicken nuggets,468.4,33.0,0.0,55.0,0.6775
Day 20,Dinner,fontina topped chicken cutlets with couscous,637.0,55.0,2.0,51.5,0.644
Day 21,Breakfast,crispy tilapia,507.3,30.2,3.0,74.5,0.6275
Day 21,Lunch,sea bass with lemon caper fettuccine,526.3,35.8,2.0,39.5,0.6586
Day 21,Dinner,pan roasted salmon with ginger and curry,458.5,41.2,1.0,42.0,0.6697
Day 22,Breakfast,shrimp au gratin quiche  rsc,645.7,38.5,4.0,38.5,0.6376
Day 22,Lunch,cheesy crock pot chicken with rice,562.1,44.0,2.0,38.0,0.6676
Day 22,Dinner,healthy citrus baked salmon,599.8,35.8,1.5,67.5,0.6602
Day 23,Breakfast,low fat fish and chips,417.7,38.5,4.0,38.0,0.6586
Day 23,Lunch,spicy pasta and shrimp,475.6,49.5,2.5,40.5,0.6729
Day 23,Dinner,chicken broccoli and stuffing casserole,570.9,52.2,3.0,39.5,0.6564
Day 24,Breakfast,zone diet   perfect pancakes,424.3,52.2,4.5,35.0,0.6472
Day 24,Lunch,chicken bacon ranch noodles,581.7,52.2,5.5,50.0,0.6382
Day 24,Dinner,baked chicken and garlic orzo,470.2,52.2,8.0,37.0,0.6155
Day 25,Breakfast,tomato basil chicken breasts,395.1,33.0,2.0,43.5,0.6496
Day 25,Lunch,chicken for the gods,514.9,41.2,1.0,49.5,0.6878
Day 25,Dinner,spicy pork noodles,500.8,44.0,2.5,36.5,0.66
Day 26,Breakfast,imperial fondue,491.8,55.0,3.0,47.5,0.6512
Day 26,Lunch,chicken fettuccine with ricotta   basil,671.0,44.0,2.5,56.5,0.6624
Day 26,Dinner,luby s cafeteria chicken fried steak,409.6,33.0,0.5,40.5,0.6562
Day 27,Breakfast,sherry chicken breasts w  shrooms and capers,509.5,38.5,3.0,48.5,0.6766
Day 27,Lunch,spice rubbed pork with quinoa,554.0,35.8,0.5,60.5,0.6729
Day 27,Dinner,turkey  white bean  spinach stew,562.6,49.5,5.5,45.5,0.6381
Day 28,Breakfast,deep fried mozzarella cheese sticks,686.0,52.2,8.0,38.0,0.6032
Day 28,Lunch,semolina s chicken cordon bleu pasta,638.9,44.0,4.5,38.0,0.6381
Day 28,Dinner,bacon double cheeseburger casserole,677.9,38.5,3.0,43.5,0.6466
Day 29,Breakfast,grandma cindy s chicken tetrazzini,491.8,38.5,2.0,30.5,0.6484
Day 29,Lunch,shrimp   chicken with rice,516.1,57.8,0.5,38.0,0.6485
Day 29,Dinner,easy parmesan garlic chicken and pasta,364.3,41.2,2.0,35.5,0.6578
Day 30,Breakfast,secret ingredient best juicy fried chicken,438.3,35.8,1.0,43.0,0.6747
Day 30,Lunch,grilled pesto shrimp with pasta,360.9,41.2,5.0,31.0,0.6292
Day 30,Dinner,curried chicken with chutney and couscous,597.1,41.2,0.5,37.0,0.6444
