Day,Meal,Recipe,Calories,Carbs_g,Sugar_g,Protein_g,AI_Score
Day 22,Breakfast,ranch pretzel chicken  rsc,626.9,41.2,4.0,38.5,1.8552
Day 22,Lunch,gatorbek s cuban pork  black beans  and yellow rice,577.4,41.2,1.0,46.5,2.7976
Day 22,Dinner,spicy pork noodles,500.8,44.0,2.5,36.5,2.0057
Day 23,Breakfast,oven fried chicken and french fries,384.3,44.0,3.0,36.5,1.7604
Day 23,Lunch,creole seafood supreme,628.5,46.8,3.5,36.0,2.6608
Day 23,Dinner,pan roasted salmon with ginger and curry,458.5,41.2,1.0,42.0,1.9884
Day 24,Breakfast,peppery chicken fried chicken,646.9,55.0,0.5,57.0,1.6422
Day 24,Lunch,asian chicken noodles with vegetables,493.1,44.0,3.5,47.5,2.5736
Day 24,Dinner,cozy chicken parmesan casserole,457.0,41.2,3.5,43.0,1.8943
Day 25,Breakfast,lancaster chicken soup,392.3,41.2,3.5,37.0,1.6639
Day 25,Lunch,shrimp and asparagus fettuccine,558.5,46.8,2.5,40.0,2.5332
Day 25,Dinner,simply oven baked pork chops or chicken and rice ii,572.3,41.2,4.0,37.5,1.8948
Day 26,Breakfast,sake steamed sea bass,452.8,41.2,3.5,36.5,1.6459
Day 26,Lunch,chicken and bow tie pasta,654.8,41.2,2.5,36.0,2.4968
Day 26,Dinner,rachael ray s spinach artichoke burgers,611.2,46.8,5.0,53.0,1.8776
Day 27,Breakfast,chicken noodle goulash  abs diet,368.6,41.2,3.5,35.0,1.5565
Day 27,Lunch,tuna and white bean wraps,519.1,41.2,3.0,49.0,2.4418
Day 27,Dinner,jackie s easy au gratin chicken bake,457.5,41.2,2.5,39.5,1.7927
Day 28,Breakfast,wisconsin beer batter for fish,478.0,44.0,0.0,43.5,1.4589
Day 28,Lunch,chicken and wild rice slow cooker dinner,589.1,44.0,5.0,60.5,2.4053
Day 28,Dinner,turkey tetrazzini florentine casserole,520.6,46.8,2.0,34.0,1.78
Day 29,Breakfast,quinoa crusted chicken fingers,651.1,52.2,0.5,62.5,1.4735
Day 29,Lunch,chicken and rosemary cream rigatoni,575.3,41.2,3.0,36.0,2.4309
Day 29,Dinner,amish chicken casserole,576.6,46.8,4.0,35.0,1.7721
Day 30,Breakfast,thai tuna noodles,438.9,41.2,2.5,34.5,1.3843
Day 30,Lunch,chicken rice skillet,535.7,41.2,3.0,46.5,2.4117
Day 30,Dinner,shredded french dip sandwiches,580.2,41.2,5.5,59.5,1.7126
